date;value
1;64
2;68
3;71
4;72
5;76
6;80
7;91
8;106
9;126
10;134
11;44
12;34
13;39
14;57
15;85
16;79
17;81
18;83
19;89
20;95
21;95
22;110
23;139
24;182
25;221
26;277
27;324
28;348
29;348
30;363
31;390
32;405
33;430
34;481
35;596
36;687
37;784
38;906
39;1149
40;1217
41;1318
42;1525
43;1735
44;1887
45;2030
46;2085
47;2192
48;2366
49;2566
50;2715
51;2786
