date;value;;
1;200;200;200
2;-197;3;203
3;12;15;218
4;48;63;281
5;2;65;346
6;-44;21;367
7;20;41;408
8;15;56;464
9;31;87;551
10;-23;64;615
11;29;93;708
12;-54;39;747
13;-16;23;770
14;34;57;827
15;-36;21;848
16;-94;-73;775
17;141;68;843
18;60;128;971
19;65;193;1164
20;-14;179;1343
21;42;221;1564
22;-16;205;1769
23;25;230;1999
24;-20;210;2209
25;72;282;2491
26;74;356;2847
27;-159;197;3044
28;-773;-576;2468
29;-46;-622;1846
30;809;187;2033
31;-212;-25;2008
32;-90;-115;1893
33;318;203;2096
34;60;263;2359
35;38;301;2660
36;-67;234;2894
37;242;476;3370
38;127;603;3973
39;-196;407;4380
40;-574;-167;4213
41;1030;863;5076
42;-447;416;5492
43;-47;369;5861
44;-62;307;6168
45;-523;-216;5952
46;104;-112;5840
47;265;153;5993
48;448;601;6594
49;102;703;7297
50;-183;520;7817
51;-1148;-628;7189
