date;value
1;200
2;203
3;218
4;281
5;346
6;367
7;408
8;464
9;551
10;615
11;708
12;747
13;770
14;827
15;848
16;775
17;843
18;971
19;1164
20;1343
21;1564
22;1769
23;1999
24;2209
25;2491
26;2847
27;3044
28;2468
29;1846
30;2033
31;2008
32;1893
33;2096
34;2359
35;2660
36;2894
37;3370
38;3973
39;4380
40;4213
41;5076
42;5492
43;5861
44;6168
45;5952
46;5840
47;5993
48;6594
49;7297
50;7817
51;7189
