date;value
1;9,14
2;6,36
3;1,17
4;3,07
5;2,35
6;1,78
7;1,25
8;1,19
9;1,3
10;2,14
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
