date;value
1;100
2;102
3;97
4;124
5;147
6;130
7;136
8;136
9;151
10;168
11;182
12;178
13;175
14;178
15;177
16;179
17;151
18;141
19;137
20;145
21;149
22;159
23;173
24;187
25;203
26;218
27;233
28;246
29;153
30;154
31;186
32;209
33;258
34;224
35;248
36;289
37;335
38;414
39;559
40;712
41;886
42;1196
43;1265
44;1273
45;1341
46;1212
47;1263
48;1278
49;1371
