date;value
1;358
2;384
3;445
4;661
5;800
6;767
7;886
8;1027
9;1247
10;1576
11;1775
12;1769
13;1852
14;2048
15;2234
16;2000
17;1729
18;1948
19;2072
20;2216
21;2442
22;2653
23;3113
24;3433
25;3728
26;4336
27;4798
28;4645
29;3264
30;3493
31;4044
32;3913
33;4166
34;4462
35;4952
36;5587
37;6209
38;7244
39;8475
40;7292
41;9041
42;10399
43;10817
44;10970
45;11319
46;9955
47;9818
48;10259
49;11378
50;11414
51;10402
